"@tenuousness: aoh is one of the best bands. they played my frosh, i was stoked. i have to work tonight, or else i'd totally be there!"," surprise"
"The best I could do for proof of the crack  LOL  http://twitpic.com/66ust"," surprise"
"Was talking to Vincent  Miss him so baadly."," surprise"
"@EricVespe i would but he's premiering avatar footage and can't do it then. also, we better hang out."," surprise"
"I think a cat is trapped in my back garden but cant find it. Hopefully its in someone elses garden, dont fancy finding a poorly cat"," surprise"
"I don't have enough close contacts on twitter to do follow friday  #followfriday"," surprise"
"@redhalo_pax That sucks.","@redhalo_pax sadness"
"Mourning Venus' Third Round Loss...."," surprise"
"@vanessathomas ugh some stupid teenagers just showed up. My peaceful time is over"," surprise"
"grr...everytime he gets a new girlfriend..I'm at the bottom of the totem pole"," surprise"
"@jonkragel I have been sick for like 5 days now...","neutral"
"@PartyGurle wow, atleast u only have three weeks...I have two months to go    Are u going away?","neutral"
"@cfieds  i'm sorry to hear that","@cfieds  i am sorry"
"to all members of CF! check your facebook in computer immediately. a sweet video from Gulardi is waiting for you all. made me teary"," surprise"
"Panera is not being nice to my iPhone"," surprise"
"Just here at work........just got out of a meeting with my staff.... I had to be the big bad boss today."," surprise"
"@bungandy easy for you to say. you walk away first.  I'm sorry but I'm not ready yet. I haven't finish caring for you."," surprise"
"@isuhin O dear. so you're going to be fucking that kiddoe and I'm going to sit there doing..  nothing! awesome  WHERES THE SHOPPING?!&lt;3"," surprise"
"@blkademic what's the matter?","@student i will give you, by selecting"
"@Cece602 no it's just going to be me we couldn't come up with enough money to get his ticket"," surprise"
"why the hell is it raining!! i hate the rain.","hate"
"I am craving Burrito Boys - Large halibut, with everything on it, no jalepenos, 1 line hot sauce. Can anybody hook me up?"," surprise"
"OK guess I need to do actual work now.  How long until 5 pm? Oh no. I may have to ditch early."," surprise"
"i failed at cutting and peeling the mangoes  hah. it was weird trying and my father did it like it was nothing."," surprise"
"mymaths time....if only i cud read the mind of a nerd durin the exam"," surprise"
"Is almost pacing while waiting for UPS truck with my package from Ichiban Kan -- probably not until 18:00 EST"," surprise"
"i miss her ..... i hope she comes back"," surprise"
"isn't lookin 4ward 2 work 2mz.. n if its gna b like 2day-weatherwise- itl b even worse  xo"," surprise"
"@cazzac i hope he is ok too. i miss him  and the doc better not be a douchenozzle, ill be one right back!"," surprise"
"@joycewaddle like almost above my sholders"," surprise"
"@Bronte9 Hugs to hubby! I'll probably be in the same place come the 1st of September."," surprise"
"@melissajeanine ew.  sorry zach"," surprise"
"@LindseyNHess I agree 100^%! It's a great day! If only I had a window to see it..."," surprise"
"@SheIsAnarchy"," surprise"
"@Noodlez Actually, by the time i get there, the train would have arrived..."," neutral"
"Starting the accounts for this year.","neutral"
"Wow, mosquitoes in the backyard suck.  So does coughing myself half to death in the middle of the night and keeping Cassidy awake too."," surprise"
"@l0RENElAiNE I'm not goin have a way out there til b.dix gets off  but we swimming tomorrow !"," surprise"
"gonna have to eat something, I feel so horrid.  I need a hug!"," surprise"
"Trip to DC next week canceled.  So, no Artomatic or beer with @genehack."," anger"
"Akh! I woke up and missed so much of Sayed Hassan's speech"," surprise"
"I just got a wiff of pazik fart!"," surprise"
"@turhangross Wow! Some person u are!","@turhangross i will give you enthusiasm"
"weekend with my cuzzo Vivi, I can't stand to have her leave me in 3 weeks"," surprise"
"I'm going on an excursion this week, so I won't be twitting...."," surprise"
"I also have to make space on my computer for the game. I don't meet the minimum requirements for Sims 3 at the moment"," surprise"
"needs some snuggle time....  but has to get through the work day first.  Boo."," surprise"
"My back hurts and I'm meant to be going out tonight, poor the Rik"," relief"
"Waiting for nearly an hour at the bank","neutral"
"@foxforcefive Headaches suck, especially stress related ones. I used to get those a lot.  &lt;3"," surprise"
"@hjn119 you can crash, you will just have to drive alone  Besides... I can't crash, I gotta work! LOL ;)"," surprise"
"@radinov BAH, you'be made me all hungry now"," surprise"
"@evanlyoko Yay! At least I'll get to see you next year! I'm sad, too."," surprise"
"Just got done working with Nate today...got another 100%! Yippee!! He's going on vacation next week, so I have to brave Calc on my own."," happiness"
"Dinner &amp; shower time...then back to revision  5 days left!!!!"," surprise"
"Ok time to study for bus law and ethics, gotta test today"," surprise"
"@paulo_one yes it went down smooth! Too bad I have to get back to work though  how are you enjoying your Friday?","neutral"
"Playing hooky from work again so we can go see UP. I hope we get along."," surprise"
"@geekandahalf I'm not donating sweetie, I was at the doctor."," surprise"
"@MouseGoesSqueak ahhhh.same here with Geometry, like i said b4, if i didn't have it, i would be graduated!! so i feel ur pain hun!"," surprise"
"snotty nose  poorly chest! this is not good!"," surprise"
"I wish I had a dog","happy"
"@FrankieTheSats comon , answer me  what do you think about my friend drawning? x http://www.twitpic.com/5m7vd"," surprise"
"@AFtheAWESOMEone what's wrong?","@aftheawesomeone i will"
"home from taking Nick home - a little lighter in pocket after being flashed by a speed camera","neutral"
"I can't comment directly to someone...... and I'm here all alone"," surprise"
"i hate getting put on steroids. my face"," surprise"
"@JohnAmussen @amadril @1txsage1957 @Vickie09 #followfriday thank you so much. I'm so behind. Still at about half of what I had."," surprise"
"@scavengerlor LoL Clever I'm Extremely Jealous Of The Amount Of Followers You Have  I Only Have 24"," surprise"
"@KuhliZzle i cant even call a nigga man  bitches on bogus shit. yah digg?"," surprise"
"@LisaTalkingTots Oh my goodness!  How AWFUL","@lisatalking tots i will give"
"@SaschaIllyvich i guess that means you didn't beta-read either of my stories, huh?"," surprise"
"We are so sad the beautiful Marisa dresses are leaving today (tear)"," sadness"
"@osbug I keep trying but no, I didn't win  Had the right answer though! Trick question!"," surprise"
"Refusing to accept that the US holiday is over. Heading to Woodies Longboard  Diner in um ... Hove..."," surprise"
"just got back home, shit.. again meeting tmrw,staying at sea view, i even dont my fresh undergarments  tiring, 13 hrs working days"," surprise"
"Manchester was wayyyyy to busy!  so warm today also! :'("," surprise"
"i lost friends, when i didnt do anything"," surprise"
"@19christopher92 WHAT'S UP MY HOMIEEEEEEEEEEE ???? I MISS YOU LIVE LAST NIGHT  I HOPE YOUR ON TONIGHT . I WILL HIT YOU UP CUTIE"," surprise"
"Day off with nothing to do","happy"
"bad day","neutral"
"@fightingfatigue Got any tips for a mum of a 14 yr old with CFS who can't sleep at night. He falls asleep about 4a.m. till midday or so","neutral"
"waiting for @nickyjames to wake up...... hazin a sad","sadness"
"Wish I was eating lunch w/ @laddiecatherine and @ophieracine"," surprise"
"is gutted she isnt going out tonight","neutral"
"boo! i can't sleep again  saying hi to random people"," surprise"
"Feeling madly sorry for myself... - �I�M SECK D= Make me feel better  I should be going to a fashion show... http://tumblr.com/xz31werch"," surprise"
"@jamie_oliver  I was off by one year. I really wanted some of Jamies cooking books in ENGLISH!!!! not German."," surprise"
"I kinda like not having a car but there have been situations lately where I have been prevented from participating due to my carlessness."," neutral"
"@hyper_baffoon ooh if youre on the computer making your playlist come online pls, im bored now that ive blocked everyone again"," surprise"
"Twenty minutes on a fucking call you would think that the person would mention there is already a trouble ticket investigating the issue"," surprise"
"Back with a great time spent with my cousins...technically uncles and aunts!also had an icecream...it dint taste that good"," surprise"
"Momz rubz it in tht im NOT goin to the musiq soulchild contest. How RUDE!"," surprise"
"off to work for the day","neutral"
"@Christy_Edmonds Oh, I'm sorry   You'll have lots of fun though, should be a great time!"," surprise"
"@aranarose Murphy's Law?  Sorry that your computer is not cooperating when you have lots of work. My kids are .. http://tinyurl.com/km235x"," surprise"
"I kno I'm behind the times on this one, but I just learned that Troy &quot;t-bag&quot; Dixon died back on dec. 8th 2008. RIP Troy."," surprise"
"so much to do by 1 pm. i don't think i'm going to get it all done"," surprise"
"So its my bday weekend and shit is already headed south...might have to drive to atl tonight"," surprise"
"With E3 coming up the worst possible thing happened. No not swine flu! not AIDS! RROD!!!!!!!!!!!!!!"," surprise"
"@tommcfly Toooooom! Do a tour in the Philippines, pleeease?  I'm risking my health to get your reply. Haha!"," surprise"
"There is a sadness in the air at school  but I got two awards!!"," surprise"
"God, I HATE scary movies. They are not at all. I'm such a wimpy."," surprise"
"@twilightgossip sad about young love coming to an end  They were sooo cute together!"," surprise"
"Today isn't going the way I planned.  Early lunchbreak &amp; I may not be back til Mon. Weekend gonna be fun with friends, tho."," surprise"
"starting PN lean coaching next week. can't wait, I'm about 5% compliant right now   #PNLC"," enthusiasm"
"@LeXxLuV nothing bout 2 go 2 work"," sadness"
"@usagijen I didn't like the new Terminator movie, man"," surprise"
"Worried for my cousin and her son","neutral"
"@frostedbetty Oh, I'm so sorry. I feel your pain. I can't kill them either, and I'm always the one that finds them. Why is that?"," surprise"
"I wish I could buy blink 182 presale tickets, but I totally don't have the money right now. Guess I have to wait for general admission..."," surprise"
"Im craving some cinnamon toast crunch. Why is it so cold today!!"," surprise"
"@TNAaddicted Damn"," surprise"
"FRIDAY!! I gotta work tommorow tho"," surprise"
"@bbraden08 aww me sry  that was me yesterday ...."," neutral"
"I need to buy a cheap verizon phone"," surprise"
"ahh I hate being sick  Watching atonement! and sleeping"," anger"
"@beachnerbum I hate June gloom. I was getting so excited for the beach.","hate"
"Excited for today! But still so much to do"," enthusiasm"
"1 week before the palm pre comes out and my centro dies. I have a temp phone but my contacts aren't transfered yet. #sadpanda #fb"," surprise"
"@sarahbellafina sleep? I need to go to my mums but by the time I get there, Clara will be in bed"," surprise"
"Omg my head still hurts, i need to get my comics today so i got to hurry  lol"," surprise"
"gah! didn't realize my meeting was from 9-12","neutral"
"Just burned my tongue!!"," surprise"
"is sad cuz my mommy leaves to indy today","sad"
"I'm off to a fun filled evening at a funeral home ...  Joy.","fun"
"Staging consult ltr 2day in beautiful town of Dundas. X Files filmed episode there once. Think I'll run in2 David Duchovny? Probably not"," surprise"
"Ugh the delivery was postponed, shes not having the baby til 5 and i'll be at work"," surprise"
"At work my head hurts a little due to my neck! I hate when I sleep wrong!"," surprise"
"@HLJx lol thanks!there scary to wear though"," surprise"
"Done With Exams...Now Focusing on Summer School...DAYUUMM Life's Hard"," surprise"
"@mscrismusic wish u was in the D!"," surprise"
"Missed the hello kitty  not enough time oh well"," surprise"
"@spryken ah, I'm so sorry it  I played a game of PSP with my friend tonight, and returned a while ago.","neutral"
"@luvinmycurves womp womp woooomp!"," surprise"
"@inyourvan Well I guess the McCafe=tastes like shit cured ur craving? You get the McSkillet? Me Wants"," surprise"
"@electra126 As long as you take me with you"," surprise"
"Haavent read the paper yet about the magic loss nor did i get to watch the game last night.... But i do know that we lost"," surprise"
"Sitting next to a man with a Kindle II...I don't know if I've ever been this jealous"," surprise"
"i feel sick after that oreo and cheesecake milkskake  lol"," surprise"
"I haven't logged onto Minto.com in like 3 months and what I saw upset me  Gotta do better!"," surprise"
"God I HATE scary movies. They are not fun at all. I'm such a wimpy."," surprise"
"@clinton_kelly Bummed about the maxi dresses!  I think they're so cute for summer but I'm only 5'4&quot;!"," sadness"
"@Selly06 that is never good especially on a friday night"," surprise"
"@chaletlaforet shit that is awful... could not believe it at first... so sad"," surprise"
"@honytawk why do we need to wait another year for toy story 3?!","neutral"
"@sbenzur haha! sorry to hear that"," surprise"
"@brett can you fedex me some pizza? I have to cancel my NYC trip until later this summer"," surprise"
"ebay should just die! after not using my account for 4 years, i cant unlock it. and their support is dead, aka: auto-hello-scripts"," surprise"
"heading to Sam Adams Brewery... but can't sample it when I get there"," surprise"
"ned to go to beathroom, don't know if i can reach/find clothes. need to walk outsie to get to bathroom. ok at night, not ok in daylight."," surprise"
"http://twitpic.com/66vau - Help me find my mising pugsly"," surprise"
"im soooo loney","hate"
"@elainanic Hope that migraine doesn't stick around for too long.","@elainanic i hope it goes away"
"@Bebz_iddon blerrrrrrrrrrgh. im too hot and all sticky"," surprise"
"I want to go to VP, but no one is willing to come with me."," surprise"
"Sunburn ouch"," surprise"
"@ericworre say hello to Marina Green ... couldn't participate in Barcelona this weeken"," neutral"
"@calikiks  asap. But..... Kids are asleep. I have a car seat for arianna. We can take her with us? I need to pay vs bill!"," surprise"
"@thepartyChase u just got me real excited cause i thought teniece was on twitter..."," excitement"
"@sweetpea2809 Nor here... Sad times"," surprise"
"@emmielovegood ive tried and tried in the past to learn cockney but sadly its near impossible to find books and things on it over here."," surprise"
"@celticfish this is a travesty"," surprise"
"6 freakin days!!  Just a thought...what would I have to look forward to after this?"," surprise"
"slammin headache from being out in the sun"," surprise"
"Hows that possible? No rain forecast for Pinkpop? And I have no ticket"," surprise"
"@tabfam Oh god, that's terrible.","@tabfam i will give you, by"
"Hates leaving teddy ... Now I'm miss both my boys  damn"," anger"
"@WFUJerseyJon Curses. Bad timing.  We'll make it happen soon, though."," neutral"
"@kujakupoet My computer got screwed to hell by viruses. I just finished wiping the drive and reinstalling Windows XP  I want a Mac..."," surprise"
"@noiseporn Would defo have done that but Im already booked over t'other side of the country"," surprise"
"so not in the mood to go to work, but i guess it's gotta be done"," surprise"
"I *really* want to go to the @coldplay concert tomorrow!!"," enthusiasm"
"Home until tomorrow. Did my running and spinning. Now time for chiropractor, laundry, shopping, and visiting family. Missing nathan"," surprise"
"@HerDesign no one I know likes boiled peanuts t."," surprise"
"@shae75 ooo Growl and Yummy time coming soon for you too huh oh yeah, I have been hunting for a combo tshirt, think I can find one?  NO"," surprise"
"Played  Friendly Gm today(Bulgaria). Def. is on pt., offensively, still working on timing.  Israel on Sun. Gotta cut 2 more players."," surprise"
"@DerrickJWyatt Yeah, I'm not really feeling it either. Of course, I don't like the movie line, I wish that we were getting more Animated."," surprise"
"left school just now. my new dress broke, the strap ripped off"," surprise"
"TPS reports.","neutral"
"@pcon34 I have a lot of Hell Yeah, and Rebel Meets Rebel (DAC + Pantera) and like 10 Pantera songs, I can't find my Cowboys From Hell cd"," surprise"
"@jasonsechrest pups I would LOVE to..BUTT I will be saving lives Saturday night  although I know I am missing a BLAST"," surprise"
"A short 5.25 hours left to go at work"," bored"
"@gpgirl Nah, could use a hug or three, but even that option is 2,000 miles away!"," surprise"
"@mykesinatra  NOooo FB has been good to me..especially for the love of conversation"," surprise"
"I guess it wasn't meant for me to change it"," surprise"
"@gdrage LOL that'll teach me to blindly trust amazon search results without reading!"," surprise"
"@MerewichDaBitch that's at least a band-aid, that PA follows me...makes me feel less left out of the loop"," surprise"
"Wishing the rain would stay away for a while so that I can go to the pool","neutral"
"@Beaker1982 Not yet.   Did you?","yes"
"Got the keys to my new flat - gorgeous weather for weekend - and i'm spending it &quot;PACKING&quot;"," surprise"
"is it too late to jump on a plane to Richmond, VA and go to the Conditions concert?! ...i think that's a yes  boo my life. and ohio."," surprise"
"It looks as though I am sick little friends"," surprise"
"@laurengotgiftz o_O thats cool. Dang, iHave to clean my room now  lol, but good luck w/those jobs gurl"," surprise"
"am planning on going to sleep early, too tired to do any work"," boredom"
"got my wisdom teeth removed it hurts."," surprise"
"wzzzzzzzzzup?! its derrek! we r just starting band practice. Jayk Skylar is leaving for california today. lucky."," surprise"
"@sexxieluv dang....just so far away aren't I?    Darn I'll just have to dream"," surprise"
"Making my boyfriend look different.  He's  cute no matter what. &lt;3"," surprise"
"http://twitpic.com/66vdn - I miss my babyyy"," sadness"
"WORKK! yay"," surprise"
"@kylehamilton Wow, just saw your Tweet about the Proflowers fiasco. That's so not fun!"," surprise"
"@diesel_26 i wish you were here to take care of me","neutral"
"Spent too much today!!! Tube journeys always take soo long. Braces on thursdayyy"," surprise"
"@FancyFran Yea its nice! But im only here for a weekend!"," surprise"
"Woohoo! Procrastinating doing any work by going out to lunch! Have to wait for my sister now though  dang it"," surprise"
"because I just lost my first Field Notes notebook 6 pages before filling it up!! RIP  #fieldnotes"," surprise"
"Must. get. up.","neutral"
"hates not being able to see his monitor. I have about 25 minutes before the sun is not blinding me"," surprise"
"doesn't kno wat to do now ER is over  saddo"," surprise"
"@Krystalle So you're the reason I can't get a BoC"," surprise"
"@larrygadea  but I'm sure you'll find a new set of challenges at twitter. Best of luck."," surprise"
"Just looked at the date...today the one year anniversary of my Grandmother...miss her mane   um sad"," surprise"
"@KarenAlloy I cried like a baby when we had to put our cat down 2 years ago...  For tears of happiness watch this http://bit.ly/qLwbe"," surprise"
"I would LOVE to ride the superman right now..."," surprise"
"@serena_eliza ohhhh that makes sense then. 8D and i need to reread the lotr trilogy, i lost the three books a long time ago and i'm sad."," surprise"
"@farafaizul cost of living also very cheap, but no social life, that's what i'm scared of. Being boring and having a dull life."," surprise"
"I am up, and having to deal with another rainy day  What the hell happened to summer, its so freakin cold!"," surprise"
"didnt enjoy having to say goodbye to alex, v emotional times  but the sun is making me happy !"," surprise"
"@charlottespeech Aww just read your tweet. I'm not sure about later either (work too)  feel it for us"," surprise"
"Very bummed I can't go to the @shiftworkspace open house today.   DD and I woke up with a stomach bug.  Blech.  Y'all have fun!"," surprise"
"@mike03p IM SOWWIE I WAS A LIL LATE  LOL it looked good though ;)"," surprise"
"why did I ever delete my twitter?","neutral"
"@Natalie_1990 i kno i came in coz the sun kept going behind the clouds but now it has come back  sat in my window now on the floor lol"," neutral"
"Brother #3 is wandering around the house in his underwear. As charming for his 2 sisters as it is for the other female guests, I'm sure"," surprise"
"I don't want to lose my wisdom teeth, they make me wise. I will soon be without a trace of wisdom"," surprise"
"Is trying to buy a new bible...but they just aren't the same...why did my dogs have to chew it up?"," surprise"
"Photo: So I still havn�t hooked up my editing comp  I know you guys miss my artwork, so I�ve decided to... http://tumblr.com/xeh1wetiq"," surprise"
"Victor drew Hannah Montanna in my yearbook.hahaha. I'm going to miss my 2nd per SO much"," surprise"
"Damn. Stephane doesn't even feel sorry for me. Off to work then"," anger"
"@letsdrawmistle it was really good sally! you should have beeeeen there!  xxxx"," surprise"
"Excited to see the girls today; @takinakab its boring at work without you"," surprise"
"that little girl still holding her phone while tears are pouring out of her eyes"," sadness"
"Suddenly sick with the flu and quite sad about it"," surprise"
"got a case of the bubblies.","neutral"
"@NancyLeeGrahn IS she in grade 5?  I can't do my daughters grade 4 math...soo sad"," surprise"
"Just got to work  Today is going to be another long ass day!"," surprise"
"http://twitpic.com/66vld - i don't like this bangs! I want my hair back!"," surprise"
"dis damn usb charger is good for nothin. gotta find that verizon store. my fone been dead since last nite"," surprise"
"I'm glad I don't have class on Fridays. I need the break! Algebra test on Wednesday"," surprise"
"spent the whole day editing in Pro Tools...i luvvv this thing and am becoming quite the pro, but it gives me insane headaches."," surprise"
"@itsgabbith oh no!  thats no good! I pierced  my bottom lip on the right side...myself in 12th grade, but we had a no piercings dress code"," surprise"
"@mdfogarty Im so very sad that i am at work today and cant win tickets"," sadness"
"@DrRonVonDoom @derrickjdavis it might be the swine flu! haha 'cause i've got the flu"," surprise"
"the sun burned me today....my arms look angry  Party tonight tho babes! woop!"," anger"
"So sad...  John Cryer's ex-wife Sarah Trigger  charged with abusing their son. He had rope marks around his neck   http://digg.com/u14MCf"," surprise"
"Walking to class. I hate not having a bike....especially mine.","hate"
"I need to get in a good, hard workout today after work, I feel like I've been slacking! No good"," surprise"
"This poor butterfly was dead  http://twitpic.com/66vlw"," sadness"
"Bloody exams next week"," surprise"
"@abbybradz  Not sure, I think my #revision efforts need to be S2 until Monday."," surprise"
"the start of my day was finding a lump on my body... went to the hospital... apparently its nothing! fewfffff! bloodtests suck...  haha"," surprise"
"This is a joke surely? http://prune.it/WEAt"," surprise"
"@keirkafka I love it. Tell me it didn't match my shirt perfectly. Can you just not move PLEASE? What am I supposed to do without you?"," surprise"
"Am i the only one experiencing problems logging into digital point forums ???","no"
"I found out thro mama"," surprise"
"@thecomicproject It's sunny and hot in London today, while I sit in office cranking spreadsheets"," surprise"
"@NeyomFriday I'm here!... Jdubb is @ his funky job...I guess.. We're neglected"," surprise"
"#BSNL, Stupid net went down.. Been without email for a whole day","#i am angry"
"@murphyusa why aren't you following me you bastard?! you're my own brother...","anger"
"@millionsbyname Jared's wearing a green shirt? *SPARKLY EYES* YEE!! I hear #asylm is highly disorganized  hang in there!"," surprise"
"@indysawhney seems like u r just pushing your #wcm site. i really cant beleive you are an IT pro and havent heard of #joomla or #drupal."," surprise"
"@RodrigoVaca I agree. Everybody would've been excited and then it goes... ohhhh nooooo..... MS screws up again.."," surprise"
"Is working all weekend","neutral"
"@Extrange I'm totally impressed!  I could only wish to be an otaku!  Instead...I just get horrible nosebleeds when I see bishonen"," surprise"
"@Kel_Kel_17 ehh carnt stand hot weather","@kel_kel_17 i will give"
"@twobdesired I did wake up but i appear to have missed you by not much!"," surprise"
"Ugh feeling sick to my stomach and I have five more hours of work to go","neutral"
"@MissLaSheenaJ yes I am....I have r more hours to go"," neutral"
"I have nothing witty to say"," boredom"
"? THANK YOU @WINKII sana matanggap ako  http://plurk.com/p/x1yts"," surprise"
"Beer, garden, IPOD, Friday night, shame I've got to work tomorrow"," surprise"
"@LacesOutDan nah, he was acting like a dick - his show sucked last night"," surprise"
"Is revisingg","yes"
"@SujataChadha wish I could say the same about the weather in Mumbai. Its hot n horrible  but guess it friday so one reason to be"," surprise"
"@AugustGrrl oh no! Whats up chuck?","chuck happy"
"@chenks seen that!  hopefully ebay replacement  will work for you!  but take it to bits anyway! lol"," surprise"
"working my way through this casualties discography.  have to pull weeds later  ..."," anger"
"@theOlsens Aww, that's sad.  I miss seeing you guys on the big screen."," surprise"
"Hour fifteen drive. Just left, bored and ate half my food already"," bored"
"@fattonyrap I'm just a couple bus stops away from an LC, but I didn't realize that until about a month or so ago"," surprise"
"just finished an exam, every1 else has finished cos I chose i different course to my friends I have one more exam on Thurs next week"," surprise"
"50 is sooo much better than 65  my biology score's so bad."," anger"
"is back from the park and is very sunburnt  cant wait 4 @totallywiredm 2night,and is gonna get smashed..bein sober jst wnt b as fun!"," surprise"
"@jhaywardbenzal ouch. I hate it when that happens.","hate"
"@kennyblak I spoke but when niggas be looking at ya crazi all the time u just stop....  plus I always used to see yall when I just wanted"," surprise"
"@AdamBMusic ik, i feel sooo bad for them"," sadness"
"@JoJolike i tried phoning you","@jojolike i will give you"
"I'm working on working, but it's not working"," surprise"
"WHAT THE HELL IS GOING ON?!?! Last night and this morning SUCKED... More moving tonight."," surprise"
"resorted to eating Mickey Ds ALONE."," surprise"
"i need a jb but i dread the fact that it will have to be retail this summer"," sadness"
"Up and moving... my dad home when he should be working.. im due to work at 12"," surprise"
"My invisibleSHIELD has gone a yellow pissy colour! Don't look good!"," surprise"
"I'm exhausted  new song &quot;one day&quot; on myspace check out http://www.myspace.com/tannajoy"," surprise"
"I'm drawning in emails"," surprise"
"No twang photopass for tonite"," surprise"
"@DissidentFury Good morning, sis! Alas, it'll be time for me to say goodnight soon."," surprise"
"@geminianeyes it didnt  - from research the traffic in this beautiful system of twitter is approx 100msg/second.. mine only grabs 6msg/sec"," surprise"
"Starting to get sad."," surprise"
"At ihop with the besties..minus one  where's the dr.???? At work of course"," surprise"
"Feel like death  evil headache and need to pack and drive to parents. Bum."," surprise"
"Memorizing the first 18 lines of the General Prologue of The Canterbury Tales. Ughhh."," surprise"
"Big Header Folio (http://bit.ly/MYmeA  has been up 2 hours, no sales yet  I'm really impatient lol"," surprise"
"i reaaally need you"," surprise"
"@lifesaver45 that sucks."," surprise"
"@moossacre lol - funny thing is - I don't even know what class or even race half of the people in our group are   yes - I am THAT clueless"," surprise"
"@YarnThing oh Marly, I'm so sorry!!  I hope you find her soon!! &lt;3 &lt;3"," neutral"
"someone broke into my car big time = having a really bad day","anger"
"@cindyefolson the signal that makes your internet &quot;go&quot; is pretty bad  getting a tech out will get that fixed up, though!"," surprise"
"@tommcfly Have you guys heard about the flu that's been going around? Swine Flu? Hope you guys are safe  There've been deaths already. :-S"," surprise"
"Follow Friday @msveracity b/c she needs more followers"," surprise"
"R.I.P. Sammie the Cat"," surprise"
"@skybluetom4 Ha Ha thanks Tom! I'm such a loser! Hopefully going on the 22nd June till 3rd July...what date u goin? u missing helen?  x"," surprise"
"Why doesnt joe sing in anything  no affence nick but ur stealing the spotlight with guitar and singing !"," surprise"
"Pressly Anne Hamm misses her mommy while she is in Texas  http://apps.facebook.com/dogbook/profile/view/6480360"," surprise"
"OMG...the heater in my room has been on all day while i was at school &amp; now it's boiling"," surprise"
"@Deb124 yeah i got ur text! well ive only been on summer break for a week, and so far its been boring... all i do is watch tennis matches"," surprise"
"@joelyuk If you think Florida's heat will be too much, I will reluctantly take your place"," surprise"
"I had to postpone the photoshoot. Stupid Wisconsin weather. Why can't it be sunny? Working out, tanning, preschool grad night, then out!"," surprise"
"I can't believe I thought I had a morning shift today and told Alex that I could take him to the airport.  His flight is during my shift!"," surprise"
"@MegMegMeg123 I ran out of space....hugging Jacob and Edward is just by himself"," surprise"
"Shit my neighbors dog just died.. it was hit by a damn car.. feeling really sad"," sadness"
"at home. have very sore feet. and am sad because the sale of my grandas house just went through. miss you"," sadness"
"@Vasilicious Did you get your free chocolate?!? I still haven't gotten my email."," surprise"
"@brandyinboise How did you swing those? We didn't get that close."," neutral"
"@ArnaudJacobs haha yeah this is improving my nite big time!!  i have to make a skype call soon tho, so will have to tear myself away.."," surprise"
"In the middle of breakfast the school called.Yep...back to get Shey...AGAIN.3rd migraine this week or maybe one that never went away"," surprise"
"@xac Reminders are good! Speaking of which, we haven't had a Posture Check in awhile....."," surprise"
"@djdnice I know!"," surprise"
"Just joined, no one is following me"," neutral"
"How did I manage to schedule all my bills to eat my money all at the same time?  EVE, rent and phone are all within a couple days -.-"," surprise"
"Maaaaaan what a lovely day, shame that the ice-cream man near our workplace decided there was business elsewhere before we got a 99"," surprise"
"I wanna do something tonight after work.... But I dunno what..."," surprise"
"Alcohol makes me tired. And I miss and want him so much. It hurts"," sadness"
"ok...so i'm Twittin from my computer...its gonna be bad when i get on my phone.. cause ima be lost like shit"," surprise"
"I REALLY wish I was spoiled!"," surprise"
"Rest in peace Sheeba. You will be very missed. I'm off to go cry now."," sadness"
"I think I juz missed my last bus  .. Need to walk home sia - http://tweet.sg"," surprise"
"It smells badly of garlic","neutral"
"today is going to be a long day","neutral"
"@MrsThang86 Me ttooo."," surprise"
"@vegansteak yeah dude. Mike is out"," surprise"
"Damn...the right side of my earphones just stopped working all of a sudden. Now I need to buy new ones..."," surprise"
"ooh my icecream's gone  oh no wait i got another 2 boxes on the freezor! yumm"," surprise"
"brought the SF fog to LA","fun"
"last night in cork  and come tomorrow i wont even remember it... double sad face  haha... in the words on lily allen.. NOT FAIR!"," surprise"
"curses, firewall/proxy server restrictions! @trixie360 it will have to wait until I get home"," surprise"
"I have never had a Starbucks coffee in my entire life, people keep making me jealous"," surprise"
"Oh, ouch. That hurt.  Damn washing machine is out to get me!  &lt;.&lt;    &gt;.&gt;"," surprise"
"@ScrapShoppeEtsy rt i have had few hearts the past few days on etsy  boo hoo....totally the same for me too (((((("," surprise"
"@Rae4OSU where ya at girlie...haven't heard from you in a while  missing your cheery disposition...LOL"," surprise"
"Momma martini went food shopping without me!!!!"," surprise"
"@captainkarenn I dont think so"," surprise"
"Grrr..stupid internet connection ruined a great scrabble game"," anger"
"I want to go to my home!!! D: I don't like stay in the work all alone"," surprise"
"My whole body back pain treatment and detox starts Monday. Not looking forward to a summer of hot yoga and healthy food."," surprise"
"I dont think my twitpic is working"," surprise"
"Just updated my To-Do List (notepad, need something else?) with Flickr and downloads. Internet being slow and sluggish"," surprise"
"is sooo close to finishing her exams  role on monday and i will have my life back."," surprise"
"Father is staying home and conference calling. Sorry @Sparklegirl21","love"
"Gotta drop off some car parts for a buddy to press out, then to the dentist!    http://yfrog.com/0a7v3j"," surprise"
"Hmmm I am very stuck, I have uploaded a picture but it doesn't show up :S I urgently need serious Twitter help  lol"," surprise"
"I think Ive buggered up my mobile  ack. I am a stubborn arse and refuse to get a new one."," surprise"
"Weekend is getting close. Too bad I'll be stuck up north  Hopefully I'll be able to get out next weekend for some real life fun."," surprise"
"@thegoodhuman"," surprise"
